Cinsiyet,İsim,Taşıyan Kişi Sayısı
E,Mehmet,4098514
K,Fatma,3411485
E,Ali,2445965
K,Ayşe,2298202
E,Mustafa,2152603
E,Ahmet,1917518
K,Emine,1806700
K,Hatice,1538450
E,Hüseyin,1459523
E,Hasan,1448789
E,İbrahim,1104588
E,İsmail,929279
E,Osman,840066
E,Halil,682734
K,Zeynep,674208
E,Ömer,573469
E,Yusuf,562193
E,Süleyman,534268
K,Havva,526864
E,Murat,493645
K,Meryem,483216
E,Abdullah,470904
K,Sultan,417507
E,Mahmut,391606
K,Hanife,388905
E,Salih,363026
E,Kemal,356822
K,Zeliha,313864
E,Yaşar,310529
K,Cemile,307772
K,Zehra,303759
K,Keziban,291413
K,Sevim,290876
E,Emin,268229
K,Gülüzar,261026
K,Hayriye,255211
E,Kadir,248626
E,Bekir,247568
K,Kadriye,244296
K,Gülsüm,236206
E,Bayram,230602
K,Halime,226593
K,Hanım,225161
K,Aysel,223447
K,Asiye,223044
E,Şükrü,222686
E,Musa,211837
K,Esma,206959
E,Selahattin,206574
K,Hamide,203192
E,Nuri,202384
K,Döndü,201949
K,Leyla,201007
E,Adem,199389
K,Melek,196629
K,Zekiye,193309
K,Rabia,192192
E,Metin,191279
E,Dursun,187587
K,Naciye,186822
K,Nuriye,185619
K,Saniye,184523
E,Rıza,183935
E,Orhan,183158
K,Ayten,182798
K,Aynur,181077
E,Abdurrahman,179881
K,Makbule,178497
E,Şaban,174418
E,Zeki,174248
E,Arif,174033
E,Kazım,172675
E,İsmet,172052
K,Türkan,170893
E,İhsan,169893
K,Safiye,168789
K,Güllü,168239
K,Huriye,165326
K,Dudu,162239
E,Sabri,162143
K,Nazmiye,161992
K,Necla,161632
K,Rukiye,159385
K,Saliha,157244
E,Yılmaz,156199
K,Özlem,155749
E,Celal,155459
E,Hakkı,154481
K,Yasemin,154299
K,Feride,152684
E,Mevlüt,151856
E,Muzaffer,151111
K,Şükran,148828
K,Remziye,148574
E,Hakan,147485
E,Nurettin,146667
K,Saadet,146356
K,Dilek,146323
K,Songül,144713
K,Münevver,142886
K,Şükriye,140923
E,Durmuş,140404
E,Muhammet,140388
K,Ümmühan,139896
K,Seher,139847
K,Yeter,139425
K,Selma,138089
E,Cemil,138021
E,Muharrem,134444
K,Filiz,133984
K,Nurten,133947
K,Meliha,132554
E,Yakup,132317
K,Nazife,132292
E,Necati,131319
K,Hafize,130672
K,Sebahat,130226
K,Sıdıka,128855
E,Halit,126999
E,Yunus,126008
K,Hediye,125993
E,Sait,125254
E,Erol,123142
K,Zahide,122842
K,Perihan,122654
K,Medine,121898
K,Güler,120918
K,Fikriye,120603
K,Melahat,118815
E,İsa,118736
K,Müzeyyen,117605
K,Cennet,117513
K,Arzu,116915
K,Semra,116895
E,Ekrem,116863
K,Elmas,116767
K,Gülten,116696
E,Abdulkadir,116419
K,Arife,116171
E,Aziz,115825
K,Bedriye,115223
K,Lütfiye,115078
E,Eyüp,114836
K,Raziye,113845
E,Ayhan,113646
K,Sabiha,113448
K,Zübeyde,113167
E,Serkan,112906
K,Gönül,112353
K,Hatun,111816
E,Cengiz,110753
K,Satı,110246
K,Yıldız,109365
K,Neriman,108948
E,Niyazi,108541
E,Gökhan,108503
K,Serpil,108179
E,Selim,107988
K,Habibe,107388
K,Nuray,106445
E,Aydın,105807
E,Haydar,105193
E,İlyas,104947
E,Bilal,104939
K,Gülay,104619
E,Bülent,103627
E,Uğur,103428
E,Remzi,103156
E,Şevket,101757
E,Mesut,101296
K,Ümmü,100725
E,Faruk,100003
K,Nermin,99639
K,Nurcan,99442
E,Hikmet,98309
E,Sami,98082
K,Sibel,98076
K,Sabriye,97168
K,Sakine,97066
E,Tahir,96644
E,Hamdi,95335
E,Adnan,95147
K,Nimet,94987
K,Firdevs,94485
E,Hamit,94419
E,Erkan,94353
E,Şerif,93658
K,Döne,93398
K,Esra,92747
E,Tahsin,92713
K,Aliye,92641
E,Ercan,92441
E,Sinan,92278
E,İrfan,91223
K,Derya,90458
E,Erdal,90129
E,Muammer,89731
K,Kamile,89461
E,Sebahattin,89388
E,Cuma,89328
K,Şengül,89057
K,Şefika,88286
E,Tevfik,87538
K,Kıymet,87485
K,Hasibe,87378
E,Alaattin,87309
K,Nazlı,87183
K,Pakize,86957
E,Cafer,86666
E,Veysel,86557
E,Muhittin,86337
K,Gülseren,85994
E,Turan,85926
E,İzzet,85533
K,Saime,84808
E,Enver,84111
K,Çiğdem,84009
E,Fevzi,83874
E,Şahin,82077
E,Nevzat,82069
K,Mürüvvet,81391
K,Fahriye,81004
K,Adile,80478
K,Mevlüde,80282
K,Tülay,80194
K,Neslihan,79656
K,Azize,79521
K,Ayfer,79087
K,Emel,78991
E,Erdoğan,78866
E,Salim,78701
E,Şakir,78374
E,İlhan,78089
E,Yasin,77932
E,İdris,77906
E,Lütfi,77684
E,Yüksel,77066
K,Gülcan,77059
E,Ferhat,76944
K,Nebahat,76578
K,Sema,76344
K,Semiha,76338
E,Emre,76172
E,Adil,75605
E,Harun,75576
E,Hüsnü,75102
K,Ayşegül,74909
K,Pınar,74812
E,Fikret,74803
K,Yüksel,74556
E,Engin,73666
K,Reyhan,73321
E,Burhan,72578
E,Zekeriya,72316
E,Davut,72127
K,Tuğba,71172
E,Hilmi,71169
E,Fahrettin,71021
E,Duran,69992
K,Serap,69761
K,Behiye,69555
E,Kasım,69545
K,Hüsniye,69193
K,Canan,69151
K,Nezahat,68878
K,Şadiye,68302
E,Rifat,68215
K,Nafiye,68197
E,Emrah,67621
K,Penbe,67447
E,Şeyhmus,66586
E,Rasim,66336
K,Ebru,66138
E,Nazım,65965
E,Bahattin,65585
K,Sevda,65493
E,Erhan,64248
K,Zülfiye,64042
K,Selime,63572
E,Necdet,63423
K,Nesrin,63395
E,Necmettin,63117
K,Suna,62699
K,Münire,62695
E,Zafer,62467
K,İlknur,62326
K,Gül,61948
K,Fethiye,60803
K,Dilber,60453
K,Alime,60056
K,Azime,59814
E,Şerafettin,59623
K,Dürdane,59402
E,Yavuz,59159
E,Seyit,58926
K,Birgül,58862
K,Necmiye,58827
K,Zarife,58762
K,Fidan,58672
K,Senem,58546
E,Turgut,58234
K,Gülistan,58205
E,Arslan,57994
E,Yahya,57979
E,Reşit,57819
K,Neziha,57785
K,Ümmügülsüm,57683
E,Fehmi,57664
K,Naile,57643
K,Bahriye,57493
E,Özgür,57322
K,Suzan,57219
K,Nihal,57136
E,Faik,56845
K,Bahar,56781
K,Eşe,56526
E,Bahri,56487
E,Fuat,56335
E,Çetin,56319
E,Kerim,56068
K,Birsen,56032
E,Seyfettin,54878
E,Özcan,54667
K,Nurgül,54314
E,Resul,54062
K,Aysun,53858
E,Hanifi,53656
E,Levent,53639
E,Müslüm,53598
E,Ramazan,53018
K,Mediha,53002
E,Sefer,52992
K,Latife,52959
E,Onur,52602
E,Selçuk,52407
K,Halise,52347
E,Nazmi,52253
E,Halis,52216
E,Akif,51954
E,Sadettin,51858
K,Fehime,50781
K,Nigar,50551
K,Merve,50486
K,Bedia,50467
K,Mine,50431
K,Nilgün,50373
E,Ethem,50267
K,Burcu,49968
K,Gülbahar,49927
K,Zinnet,49447
K,Yaşar,49426
K,Kudret,49273
E,Satılmış,49146
K,Kübra,49124
K,Mukaddes,48988
K,Hikmet,48832
K,Aslı,48441
K,Vahide,48414
E,Suat,48316
K,Fatmana,47724
K,Gülnaz,47659
E,Sıddık,47516
E,Fikri,47195
K,Güldane,47004
K,Elif,46875
E,Barış,46853
K,Durdu,46761
K,Şenay,46539
K,Süheyla,46531
K,Neşe,46363
K,Cevriye,45837
K,Nahide,45725
E,Yalçın,45667
K,Şemsi,45584
K,Züleyha,45428
E,Naci,45416
E,Hıdır,45406
E,Servet,45126
K,Şehri,44891
K,Ayla,44491
K,Gülhan,44485
E,Rahmi,44469
K,Nursel,44441
E,Mümin,44417
K,Nilüfer,44318
E,Özkan,44249
E,Atilla,44211
K,Sevinç,44051
K,Fevziye,43975
E,Cevat,43947
K,İsmihan,43942
K,Selver,43863
K,Sevil,43785
K,Nefise,43662
K,İpek,43517
E,Eşref,43513
E,Zeynel,43413
K,Nesibe,43385
E,Asım,43243
K,Müşerref,43183
K,Gülsen,42626
E,Muhsin,42584
K,Ünzile,42279
E,Cihan,42243
E,Burak,42228
K,Kevser,42208
K,Şerife,42188
E,Şenol,41968
K,Tuba,41916
K,Deniz,41691
K,Seda,41617
E,Şeref,41438
K,Nezaket,41344
E,Nedim,41329
E,Necip,41038
E,Oktay,41023
K,Selvi,40973
K,Miyase,40856
K,Şehriban,40745
E,Cahit,40663
E,Ünal,39788
E,Abdulkerim,39771
K,Binnaz,39619
K,Mehtap,39466
E,Abuzer,39261
K,Selda,38811
K,Betül,38589
E,Selami,38566
E,Nizamettin,38236
E,Şemsettin,38224
E,Raşit,38141
K,İnci,37996
E,Derviş,37939
E,Haşim,37129
K,Atiye,36983
K,Öznur,36837
K,Necibe,36766
K,Melike,36745
K,Düriye,36693
E,Yücel,36496
K,Leman,36177
E,Mahir,36093
K,Beyhan,36057
E,Rafet,35967
E,Cem,35928
K,Nazime,35753
K,Çiçek,35662
K,Nur,35637
K,Zuhal,35585
K,Müyesser,35531
E,Taner,35364
K,Sabire,35353
E,Soner,35323
E,Mecit,35264
E,Hüsamettin,35239
K,Hürü,35174
K,Besi,35134
E,Coşkun,35119
K,Sündüs,35051
K,Kerime,35024
E,Hidayet,34886
E,Abidin,34861
K,Sinem,34837
E,Galip,34706
K,Huri,34632
E,Halim,34614
K,Refika,34571
E,Nusret,34551
K,Hazal,34516
K,Figen,34498
E,Turgay,34453
K,Yeliz,34423
K,Cevahir,34238
E,Sezai,34098
K,Gülçin,34067
K,Güzel,33843
E,Erdem,33838
K,İsmet,33829
K,Hilal,33703
E,Avni,33689
E,Baki,33685
E,Nail,33675
E,Ufuk,33234
E,Ökkeş,33214
E,Savaş,33146
E,Reşat,33135
K,Süreyya,33015
K,Hamiyet,32722
E,Oğuz,32589
E,Fethi,32573
K,Mümine,32568
E,Fazlı,32476
K,Emir,32325
E,Cemalettin,32312
E,Saim,32265
K,Funda,32173
K,Nurşen,31955
E,Önder,31954
E,Gazi,31951
K,Gülbeyaz,31925
K,Gülşah,31922
E,Temel,31911
E,Recep,31646
E,Deniz,31627
E,İlker,31391
K,Gazal,31354
E,Ferit,31309
E,Kerem,31246
K,Kiraz,31155
K,Adalet,31038
K,Gülperi,30989
E,Cumali,30937
E,Serhat,30771
E,Şefik,30749
E,Nazif,30709
K,Eda,30113
K,Seyhan,30084
K,Ülkü,30018
E,Basri,29957
K,Mükerrem,29846
E,Talip,29799
E,Hulusi,29782
E,Necmi,29738
E,Emrullah,29628
K,Nazan,29585
E,Ergün,29574
E,Habip,29546
E,Hayati,29398
K,Halide,29376
K,Vildan,29332
E,Esat,29277
K,Nurdan,29202
E,İzzettin,29165
E,Nadir,29134
K,İslim,29054
K,Seval,29006
K,Mesude,28966
E,Cavit,28673
K,Özge,28596
K,Vasfiye,28459
K,Meltem,28425
K,Selvinaz,28301
E,Rüstem,28295
E,Kadri,28283
E,Birol,28234
K,Hacer,28214
K,Cahide,28133
K,Yeşim,28062
E,Bünyamin,28032
K,Demet,28027
E,İlhami,28022
K,Samiye,27992
E,Cüneyt,27975
E,Ertuğrul,27958
K,Sariye,27894
K,Sevilay,27827
K,Güner,27771
E,Mithat,27702
K,Ulviye,27549
K,Resmiye,27499
E,Feyzi,27427
E,Latif,27422
K,Yurdagül,27392
E,Alper,27316
K,Şirin,27284
E,Kaya,27273
E,Abdulaziz,27011
E,Semih,26948
K,Kibar,26895
E,Abdurrahim,26851
E,Samet,26768
K,Günay,26758
E,Durdu,26721
E,Veysi,26459
K,Refiye,26447
K,Ganime,26222
E,Celalettin,26181
E,Tolga,26169
E,Talat,26121
K,Durkadın,26046
E,Tarık,25991
K,Emiş,25868
E,Nurullah,25853
E,Naim,25809
K,Nevriye,25779
K,Hidayet,25588
E,Selman,25412
K,Nergiz,25412
K,Nadiye,25279
K,Emriye,25264
K,Nagihan,25215
K,Seyran,25094
K,Mihriban,25016
K,Atike,24991
E,Feyzullah,24859
E,Tamer,24824
K,Handan,24797
E,Himmet,24684
K,İmmihan,24437
K,Beyaz,24402
E,Abdulbaki,24322
K,Nazik,24194
K,Tülin,24013
K,Gülümser,24008
E,Fırat,23933
E,Vahit,23855
K,Kader,23803
E,Üzeyir,23789
K,Özgül,23741
E,Raif,23645
K,Menşure,23607
K,Mukadder,23399
E,Umut,23219
K,İkbal,23114
E,Hacı,23061
E,Tayfun,23053
E,Turhan,23029
K,Güley,22989
E,Behçet,22982
E,İshak,22982
K,Sedef,22679
K,Tenzile,22612
K,Edibe,22594
K,Şule,22295
E,Abdi,22258
E,Mikail,22136
E,Şirin,22018
K,Berrin,21949
E,Celil,21839
E,Ebubekir,21789
E,Bektaş,21786
E,Mürsel,21669
E,Erdinç,21659
K,Ümran,21626
K,Zennure,21622
K,Sevcan,21602
E,Sezgin,21529
E,Aykut,21469
K,Ayşen,21458
E,Cemal,21412
E,Tekin,21303
E,Nezir,21237
E,Feridun,21233
K,Adeviye,21008
K,Ayhan,20982
K,Gülden,20972
K,Feriha,20964
E,Sefa,20951
K,Saide,20946
K,Belgin,20916
E,Nebi,20825
K,Havana,20762
K,Oya,20717
K,Aylin,20613
K,Besra,20607
E,Rüştü,20377
K,Nalan,20376
E,İskender,20364
K,Ayser,20074
K,Nadide,20073
E,Akın,19912
E,Bedri,19818
K,Perişan,19792
E,Seydi,19776
K,Esmer,19694
K,Kadın,19692
E,Ferdi,19615
E,Vehbi,19611
E,Memduh,19545
K,Güneş,19487
K,Ceylan,19248
E,Hayrullah,19175
K,Aygül,19158
K,Lale,19058
E,Recai,18968
E,Sadullah,18964
K,Fadik,18803
K,Fadile,18786
K,Muradiye,18773
E,Haluk,18765
K,Adle,18681
E,Şeyho,18669
K,Hülya,18662
K,Zerrin,18633
K,Nazile,18631
K,Kumri,18605
K,Sebile,18589
E,Ramiz,18556
E,Nuh,18526
E,Kahraman,18495
K,Ferdane,18443
K,Şehriye,18402
E,Murtaza,18273
K,Didem,18257
K,Raife,18238
E,Sabit,18219
K,Pamuk,18198
E,Münir,18146
K,Banu,17945
E,Mikdat,17902
K,Pervin,17885
K,Berna,17824
K,İmran,17818
K,Sare,17795
E,Caner,17741
E,Battal,17739
E,Zülfikar,17683
E,İmam,17626
K,Büşra,17624
K,Fatım,17614
K,Mecbure,17569
K,Seniha,17568
K,Şöhret,17542
K,Mercan,17522
E,Gürkan,17477
K,Telli,17472
E,Numan,17439
K,Nursen,17389
K,Şehnaz,17351
E,Fatih,17328
K,Safinaz,17223
K,Şenel,17196
K,Şahide,17167
E,Abdulhamit,17125
K,Gürcü,17045
E,Zülfü,16976
K,Şennur,16946
K,Hakime,16864
K,Munise,16813
K,Gurbet,16791
E,Sercan,16751
E,Fazıl,16738
E,Zülküf,16671
K,Dilşah,16664
K,Şahinde,16657
E,Vahdettin,16644
K,Şemse,16643
E,Lokman,16519
E,Necat,16513
K,Şakire,16511
K,Muhsine,16488
K,Hadiye,16467
E,Ergin,16459
E,Muhlis,16423
E,Binali,16421
K,Kamer,16387
E,Neşet,16354
K,Aslıhan,16339
E,Edip,16338
E,Şuayip,16327
K,Narin,16327
K,Solmaz,16321
E,Gürsel,16188
K,Ülker,16181
K,Suphiye,16122
E,Serdal,16047
K,Şahsenem,15863
K,Akile,15812
K,Sacide,15805
E,Özer,15772
E,Hurşit,15755
K,Rahime,15736
K,Sevgül,15724
E,Eren,15689
K,Müslüme,15663
K,Zümrüt,15658
K,Hesna,15634
E,Oğuzhan,15584
K,Ferihan,15568
K,Alev,15453
E,Burhanettin,15446
E,Suphi,15431
E,Zihni,15371
E,Mücahit,15344
K,Gözde,15273
K,Şevkiye,15219
E,Beytullah,15203
E,Vakkas,15185
E,Sadi,15142
