Cinsiyet,İsim,Taşıyan Kişi Sayısı
K,Alma,176
K,Almıla,291
K,Alma2,0
K,Almes,67
K,Ölmez,40
K,Alper,137
K,Altın,29.88
K,Altınay,712
K,Altındağ,22
K,Altındal,83
K,Altıngül,523
K,Altınser,40
K,Altınten,64
K,Altınter,47
K,Altan,465
K,Altay,33
K,Altey,429
K,Altuna,559
K,Alya,1.393
K,Alyeşil,26
K,Ömür,8.759
K,Amada,20
K,Amanda,29
K,Amşe,7.047
K,Amelia,79
K,Ömer,30
K,Amile,117
K,Amine,5.899
K,Amire,523
K,Amra,26
K,Ömriye,10.72
K,Ana,2.835
K,Anık,43
K,Anıl,1.422
K,Ana2,0
K,Anabacı,69
K,Anacık,91
K,Anagül,133
K,Anahanım,2.718
K,Anahatun,42
K,Anahit,350
K,Anakız,7.833
K,Anakadın,3.205
K,Analı,15
K,Anargül,138
K,Anastasia,285
K,Önay,193
K,Anşa,10.113
K,Anber,1.96
K,Öncü,67
K,Önce,22
K,Öncel,164
K,Andaç,94
K,Andelip,17
K,Önder,59
K,Andrea,88
K,Ane,152
K,Aneliya,20
K,Önem,108
K,Öner,90
K,Anet,174
K,Öngül,264
K,Öngün,18
K,Angeliki,218
K,Angelina,64
K,Ani,1.382
K,Ani2,0
K,Aniş,4.612
K,Anife,664
K,Anik,694
K,Anisoara,35
K,Anita,168
K,Öniz,17
K,Anjel,533
K,Anka,125
K,Ankine,74
K,Anko,117
K,Anna,1.971
K,Anneliese,69
K,Annemarie,31
K,Annik,186
K,Ano,248
K,Anos,124
K,Önsel,40
K,Antika,4.363
K,Antonia,49
K,Antonina,71
K,Antuvanet,123
K,Anuş,350
K,Anude,286
K,Üçgül,140
K,Üçgüzel,24
K,Übeyde,289
K,Ükke,305
K,Ülbiye,644
K,Üleya,11
K,Üleyme,11
K,Ülfadiye,117
K,Ülfer,1.001
K,Ülfet,9.837
K,Ülfide,67
K,Ülgü,94
K,Ülgar,9
K,Ülgen,645
K,Ülger,3.718
K,Ülkü,30.018
K,Ülkay,212
K,Ülke,697
K,Ülkem,122
K,Ülken,360
K,Ülker,16.181
K,Ülkiye,3.385
K,Ülser,37
K,Ülvan,88
K,Ülya,883
K,Ümüş,9.319
K,Ümük,119
K,Ümüs,3.354
K,Ümeyme,40
K,Ümeyra,111
K,Ümeyye,37
K,Ümit,10.225
K,Ümmü,100.725
K,Ümmüşen,1.829
K,Ümmüşerife,155
K,Ümmügül,14.37
K,Ümmügülsüm,57.683
K,Ümmühabibe,21
K,Ümmühan,139.896
K,Ümmülü,610
K,Ümmülbani,61
K,Ümmülhayır,52
K,Ümmünaz,126
K,Ümmüselime,314
K,Ümmet,37
K,Ümmiye,9.409
K,Ümral,379
K,Ümran,21.626
K,Ümre,231
K,Ünal,775
K,Ünay,86
K,Ünel,68
K,Üner,124
K,Üngül,44
K,Ünize,122
K,Ünsal,857
K,Ünser,112
K,Ünsiye,460
K,Ünver,149
K,Ünzile,42.279
K,Ürüşan,102
K,Ürün,84
K,Üren,22
K,Üreyde,106
K,Üreyze,44
K,Ürfet,1.885
K,Ürküş,4.546
K,Üryan,61
K,Ürziye,109
K,Üsame,15
K,Üseyla,7
K,Üsküdar,161
K,Üstükar,14
K,Üstün,319
K,Üveyş,3.398
K,Üveyde,133
K,Üzüm,222
K,Üzeti,151
K,Üzeyme,982
K,Üzlifet,543
K,Üzra,23
K,Apta,491
K,Arın,45
K,Arafat,42
K,Araksi,400
K,Arap,3.491
K,Arapzengi,40
K,Aras,51
K,Arşaguhi,41
K,Arşaluys,455
K,Araz,19
K,Arda,270
K,Ördek,3.315
K,Ardemis,65
K,Ardihan,49
K,Ören,61
K,Arev,23
K,Örge,31
K,Argiro,23
K,Arife,116.171
K,Ariknaz,51
K,Aris,51
K,Arivalus,10
K,Arize,391
K,Arjin,5
K,Arlet,79
K,Arlin,38
K,Armağan,3.723
K,Arman,67
K,Armaveni,22
K,Armenuhi,166
K,Armine,144
K,Arne,744
K,Arpine,161
K,Arruna,99
K,Arsine,51
K,Artemiz,131
K,Arus,472
K,Arusyak,197
K,Aruz,136
K,Arya,14
K,Arza,253
K,Arziye,2.284
K,Arzu,116.915
K,Arzuhan,274
K,Arzuman,235
K,Asalet,674
K,Asel,65
K,Asena,1.12
K,Asi,175
K,Asibe,385
K,Aside,72
K,Asife,1.235
K,Asifer,82
K,Asile,566
K,Asime,3.714
K,Asiye,223.044
K,Askanuş,18
K,Askeriye,56
K,Aslı,48.441
K,Aslıhan,16.339
K,Aslaniye,708
K,Aslin,58
K,Asliye,1.627
K,Asmin,594
K,Aspasiya,24
K,Aspurçe,16
K,Asra,50
K,Asriye,685
K,Astğik,40
K,Astrid,23
K,Asu,458
K,Asude,1.439
K,Asuman,32.62
K,Asya,16.46
K,Ata,44
K,Atanaşiya,18
K,Atanur,80
K,Ate,22
K,Ateş,70
K,Atice,222
K,Atifet,1.703
K,Atike,24.991
K,Atile,221
K,Atilla,54
K,Atina,85
K,Atine,27
K,Atiye,36.983
K,Atlas,894
K,Atman,204
K,Atra,3.618
K,Atuş,162
K,Augusta,18
K,Aurelia,65
K,Aurica,68
K,Aurora,14
K,Ava,31
K,Övünç,52
K,Avaş,6.562
K,Avatıf,38
K,Avşar,144
K,Avdet,297
K,Avdiye,21
K,Aver,111
K,Avere,36
K,Övgü,246
K,Avize,83
K,Avniye,2.789
K,Ay,353
K,Ayış,551
K,Ayın,97
K,Ayça,7.279
K,Ayçelen,37
K,Ayçiçek,137
K,Ayçin,1.05
K,Ayan,95
K,Ayşıl,249
K,Ayşan,12.617
K,Ayşe,2.298.202 
K,Ayşeana,5.527
K,Ayşecik,212
K,Ayşedudu,3.565
K,Ayşefatma,1.637
K,Ayşegül,74.909
K,Ayşehan,4.801
K,Ayşehanım,268
K,Ayşekadın,427
K,Ayşeli,1.875
K,Ayşem,531
K,Ayşeman,200
K,Ayşen,21.458
K,Ayşenaz,63
K,Ayşenur,7.026
K,Ayşete,2.831
K,Ayşi,5.397
K,Ayşim,295
K,Ayşin,2.809
K,Ayşo,616
K,Aybüke,1.814
K,Aybala,237
K,Aybegüm,91
K,Ayben,1.201
K,Aybeniz,245
K,Ayber,233
K,Ayberk,50
K,Aycan,9.149
K,Ayda,1.948
K,Aydın,1.076
K,Aydagül,466
K,Aydan,7.394
K,Aydanur,1.255
K,Aydemir,36
K,Aydeniz,263
K,Aydi,345
K,Aydil,81
K,Aydilek,158
K,Aydo,71
K,Aydoğan,294
K,Ayet,172
K,Ayfen,68
K,Ayfer,79.087
K,Aygör,32
K,Aygül,19.158
K,Aygün,4.441
K,Aygür,36
K,Aygüzel,143
K,Aygen,425
K,Ayhan,20.982
K,Aykız,123
K,Öykü,855
K,Aykaç,10
K,Aykan,80
K,Aykune,175
K,Aykut,120
K,Ayla,44.491
K,Aylan,383
K,Aylar,309
K,Aylin,20.613
K,Aymelek,579
K,Aymer,73
K,Ayna,2.394
K,Aynıgül,86
K,Aynımah,1.485
K,Aynaz,108
K,Ayni,8.652
K,Aynişah,119
K,Aynişan,97
K,Ayniye,670
K,Aynizeliha,8.587
K,Ayno,2.469
K,Aynulhayat,1.832
K,Aynulmelek,14
K,Aynur,181.077
K,Ayper,1.494
K,Aysın,1.095
K,Aysal,301
K,Aysan,684
K,Aysel,223.447
K,Aysema,476
K,Aysemin,234
K,Aysen,6.634
K,Ayser,20.074
K,Ayseven,331
K,Aysim,45
K,Aysima,62
K,Ayson,220
K,Aysu,2.636
K,Aysuda,141
K,Aysun,53.858
K,Aytül,4.923
K,Aytün,92
K,Aytüzün,8
K,Aytaç,1.636
K,Aytan,3.277
K,Aytap,43
K,Aytekin,350
K,Aytemiz,39
K,Ayten,182.798
K,Ayter,154
K,Aytop,181
K,Aytuğ,139
K,Aytun,243
K,Ayva,62
K,Ayyıldız,76
K,Ayyüce,89
K,Ayyuş,6.376
K,Ayzıt,43
K,Şöhret,17.542
K,Şölen,210
K,Şüheda,1.492
K,Şüheyda,138
K,Şüküfe,2.045
K,Şükrünaz,444
K,Şükran,148.828
K,Şükriye,140.923
K,Özüm,250
K,Özün,62
K,Şağı,530
K,Şaşvi,26
K,Şaban,31
K,Şabey,197
K,Şacan,62
K,Şadan,3.508
K,Azade,492
K,Şadiye,68.302
K,Azaduhi,182
K,Şaduman,13.236
K,Şafak,4.333
K,Şafer,144
K,Şafiye,2.699
K,Şah,360
K,Şaha,5.402
K,Şahan,332
K,Şahane,104
K,Şahanik,31
K,Şahbaz,103
K,Şahber,137
K,Şahdane,162
K,Şaheser,212
K,Şahgül,1.116
K,Şahhanım,2.693
K,Şahibe,3.85
K,Şahide,17.167
K,Şahiduhter,9
K,Şahika,1.247
K,Şahinde,16.657
K,Şahine,2.958
K,Şahinebat,389
K,Şahinet,331
K,Şahinur,3.375
K,Şahir,16
K,Şahire,75
K,Şahiye,1.253
K,Şahizer,13.006
K,Şahmelek,64
K,Şahnigar,470
K,Şahnisa,674
K,Şahperi,196
K,Şahsenem,15.863
K,Şahturna,112
K,Şahuban,8
K,Şahvelet,10
K,Şahver,2.452
K,Şahzade,4.191
K,Şahzaman,245
